                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1151,                 4.3553,                  4.087,                0.00306,                0.18393,                0.00299,                0.00097,                 3.0161,                 89.695,                 4.4942,             0.00032917,             0.00032917,             0.00032917
                      2,                 2.9886,                 3.7803,                 3.6949,                0.00641,                0.05295,                0.00658,                0.00223,                 2.6933,                 4.7611,                 3.4465,             0.00062971,             0.00062971,             0.00062971
                      3,                 2.9282,                 3.6304,                 3.4595,                  0.001,                0.26427,                0.00769,                0.00259,                 2.6073,                  4.016,                 3.5288,             0.00089725,             0.00089725,             0.00089725
                      4,                 2.7782,                 3.5855,                 3.3006,                0.00088,                0.23204,                0.00664,                 0.0019,                 2.8603,                  4.111,                 3.6663,              0.0008515,              0.0008515,              0.0008515
                      5,                 2.6362,                  3.503,                 3.1546,                0.00055,                0.14503,                0.00056,                0.00014,                 2.7109,                 4.8328,                 4.0613,               0.000802,               0.000802,               0.000802
                      6,                 2.5333,                 3.4531,                 3.0739,                0.01096,                0.13029,                0.01667,                0.00476,                 2.7576,                 4.1432,                 3.7822,              0.0007525,              0.0007525,              0.0007525
                      7,                 2.4728,                 3.4061,                 3.0125,                0.00237,                0.25898,                0.01348,                 0.0045,                 2.7058,                 4.0746,                 3.5619,               0.000703,               0.000703,               0.000703
                      8,                 2.4322,                   3.39,                 2.9608,                0.01386,                0.15493,                0.03551,                0.01167,                 2.7439,                 3.9346,                 3.6125,              0.0006535,              0.0006535,              0.0006535
                      9,                 2.4216,                 3.3212,                 2.8922,                0.00123,                0.28752,                0.02243,                0.00696,                 2.7755,                 3.8094,                 3.6453,               0.000604,               0.000604,               0.000604
                     10,                 2.3836,                 3.2949,                 2.8603,                 0.3492,                  0.157,                0.03106,                0.01056,                 2.8284,                 3.8322,                 3.5889,              0.0005545,              0.0005545,              0.0005545
                     11,                  2.191,                 3.4769,                 2.7956,                0.00244,                0.28246,                0.02469,                0.00829,                 2.7516,                 3.6629,                 3.5746,               0.000505,               0.000505,               0.000505
                     12,                 2.1255,                 3.3039,                 2.7191,                0.00187,                0.29006,                0.01791,                0.00555,                 2.8328,                 3.7574,                 3.7413,              0.0004555,              0.0004555,              0.0004555
                     13,                 2.1207,                  3.244,                 2.6771,                0.00716,                0.21846,                0.02489,                0.00889,                  2.606,                 3.7004,                 3.5029,               0.000406,               0.000406,               0.000406
                     14,                 2.1174,                 3.2095,                 2.6642,                 0.0141,                0.16644,                0.02855,                0.01108,                 2.6432,                   3.67,                 3.5576,              0.0003565,              0.0003565,              0.0003565
                     15,                 2.1039,                 3.1724,                 2.6477,                0.00785,                0.23711,                0.04004,                0.01394,                 2.6609,                 3.6738,                 3.5809,               0.000307,               0.000307,               0.000307
                     16,                 2.0652,                 3.1449,                 2.6243,                0.34434,                0.20856,                0.04152,                0.01455,                 2.5875,                 3.6933,                 3.5007,              0.0002575,              0.0002575,              0.0002575
                     17,                  2.062,                 3.1207,                 2.6101,                0.04535,                0.10129,                0.03173,                0.01194,                 2.6139,                 3.6732,                 3.5267,               0.000208,               0.000208,               0.000208
                     18,                 2.0444,                 3.0765,                 2.6007,                0.38479,                0.06285,                0.03412,                0.01476,                 2.6495,                 3.6094,                 3.5532,              0.0001585,              0.0001585,              0.0001585
                     19,                 2.0351,                 3.0479,                 2.5787,                0.05475,                0.06446,                0.03449,                0.01429,                 2.6342,                 3.6034,                 3.5378,               0.000109,               0.000109,               0.000109
                     20,                 2.0263,                 3.0331,                 2.5676,                0.06753,                0.04989,                0.04093,                0.01831,                 2.6537,                 3.5716,                 3.5391,               5.95e-05,               5.95e-05,               5.95e-05
